Titulo,Enlace,Precio actual,Precio original,palabras_clave
Accion Ética,https://www.skillingcenter.com/accion-etica.html,$500.00 MXN,"$1,000.00 MXN","etica, valores, humanidad"
Administracion de Restaurantes,https://www.skillingcenter.com/administracion-de-restaurantes.html,"$1,250.00 MXN","$2,500.00 MXN","restaurantes, gastronomia, gestion"
Administrar el capital humano en equipos de ventas,https://www.skillingcenter.com/administrar-el-capital-humano-en-equipos-de-ventas.html,$500.00 MXN,"$1,000.00 MXN","ventas, negocios"
Agente Inmobiliario,https://www.skillingcenter.com/agente-inmobiliario.html,$500.00 MXN,"$1,000.00 MXN","inmobiliario, bienesraices, ventas"
Ambiente de Desarrollo en Java,https://www.skillingcenter.com/ambiente-de-desarrollo-en-java.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
Análisis de herramientas de evaluacion,https://www.skillingcenter.com/analisis-de-herramientas-de-evaluacion.html,"$1,250.00 MXN","$2,500.00 MXN","analisis, tecnologia"
Análisis de la informacion financiera,https://www.skillingcenter.com/analisis-de-la-informacion-financiera.html,"$1,250.00 MXN","$2,500.00 MXN","analisis, finanzas"
Análisis de Mercado Inmobiliario,https://www.skillingcenter.com/analisis-de-mercado-inmobiliario.html,$500.00 MXN,"$1,000.00 MXN","inmobiliario, bienesraices, ventas"
Análisis Financiero,https://www.skillingcenter.com/analisis-financiero.html,"$3,600.00 MXN","$7,200.00 MXN","analisis, finanzas"
Animacion de Personaje en Maya,https://www.skillingcenter.com/animacion-de-personaje-en-maya.html,$500.00 MXN,"$1,000.00 MXN","animacion, diseno, tecnologia"
Animacion de un Objeto en Maya,https://www.skillingcenter.com/animacion-de-un-objeto-en-maya.html,$500.00 MXN,"$1,000.00 MXN","animacion, diseno, tecnologia"
Antropometría,https://www.skillingcenter.com/antropometria.html,$500.00 MXN,"$1,000.00 MXN","gestion, salud"
Aplicaciones Web en Servidores Java,https://www.skillingcenter.com/aplicaciones-web-en-servidores-java.html,$500.00 MXN,"$1,000.00 MXN","programacion, software"
